	% 10/3/2018	
	% 10:14 AM
	% SAMPLE B mass: 114.400 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	532.774	93.286	29.104	29.251
	533.812	93.374	29.106	29.225
	534.841	93.443	29.094	29.231
	535.872	93.436	29.091	29.226
	536.903	93.369	29.118	29.212
	537.937	93.593	29.090	29.217
	538.969	93.524	29.099	29.235
	539.996	93.501	29.112	29.231
	541.029	93.380	29.084	29.244
	542.062	93.413	29.100	29.238
	543.094	93.636	29.124	29.214
	544.126	93.525	29.097	29.229
	545.157	93.390	29.111	29.222
	546.190	93.508	29.105	29.216
	547.240	93.472	29.106	29.228
	548.272	93.497	29.106	29.246
	549.301	93.574	29.094	29.229
	550.347	93.471	29.112	29.215
	551.376	93.470	29.108	29.222
	552.408	93.393	29.122	29.236
	553.440	93.356	29.100	29.205
	554.465	93.587	29.092	29.249
	555.495	93.584	29.090	29.211
	556.527	93.355	29.077	29.229
	557.697	93.701	29.083	29.229
	558.858	93.552	29.092	29.239
	559.887	93.614	29.095	29.218
	560.918	93.584	29.091	29.214
	561.949	93.523	29.117	29.234
	562.976	93.468	29.106	29.228
	564.007	93.482	29.082	29.234
	565.034	93.673	29.096	29.236
	566.067	93.537	29.094	29.202
	567.101	93.580	29.108	29.227
	568.131	93.608	29.097	29.227
	569.155	93.486	29.090	29.220
	570.184	93.571	29.106	29.228
	571.213	93.337	29.075	29.209
	572.238	93.406	29.089	29.217
	573.265	93.466	29.083	29.223
	574.286	93.497	29.112	29.201
	575.312	93.516	29.089	29.214
	576.339	93.409	29.072	29.232
	577.368	93.435	29.094	29.215
	578.394	93.478	29.107	29.233
	579.422	93.361	29.081	29.199
	580.451	93.383	29.092	29.203
	581.484	93.347	29.096	29.229
	582.514	93.390	29.087	29.229
	583.542	93.340	29.091	29.211
	584.594	93.377	29.079	29.218
	585.652	93.465	29.098	29.225
	586.683	93.428	29.116	29.224
	587.711	93.330	29.078	29.219
	588.745	93.380	29.083	29.211
	589.775	93.427	29.090	29.207
	590.808	93.339	29.096	29.201
	591.844	93.394	29.105	29.222
	592.873	93.413	29.074	29.211
	593.903	93.409	29.084	29.204
	594.931	93.373	29.106	29.221
	595.960	93.436	29.102	29.193
	596.988	93.673	29.085	29.216
	598.014	93.449	29.103	29.206
	599.043	93.564	29.087	29.215
	600.068	93.360	29.081	29.210
	601.106	93.437	29.085	29.228
	602.137	93.575	29.091	29.216
	603.170	93.502	29.112	29.215
	604.203	93.644	29.084	29.197
	605.239	93.557	29.109	29.232
	606.274	93.412	29.077	29.190
	607.316	93.422	29.091	29.201
	608.404	93.073	29.088	29.206
	609.435	93.425	29.091	29.209
	610.466	93.441	29.095	29.196
	611.496	93.419	29.076	29.205
	612.524	93.370	29.067	29.202
	613.559	93.318	29.070	29.206
	614.595	93.364	29.081	29.237
	615.627	93.395	29.085	29.194
	616.659	93.340	29.085	29.219
	617.691	93.501	29.105	29.173
	618.721	93.464	29.082	29.207
	619.760	93.354	29.077	29.217
	620.793	93.612	29.079	29.194
	621.824	93.465	29.088	29.208
	622.854	93.500	29.097	29.187
	623.891	93.383	29.067	29.210
	624.926	93.614	29.086	29.212
	625.960	93.505	29.080	29.187
	626.994	93.455	29.103	29.196
	628.023	93.360	29.068	29.198
	629.055	93.622	29.065	29.183
	630.083	93.442	29.080	29.189
	631.109	93.555	29.078	29.205
	632.138	93.540	29.079	29.175
	633.166	93.368	29.096	29.206
	634.198	93.420	29.099	29.227
	635.227	93.394	29.078	29.202
	636.262	93.295	29.086	29.194
	637.293	93.361	29.072	29.190
	638.324	93.509	29.091	29.177
	639.356	93.455	29.072	29.180
	640.388	93.461	29.087	29.208
	641.420	93.537	29.062	29.194
	642.450	93.536	29.077	29.197
	643.477	93.345	29.077	29.183
	644.518	93.392	29.081	29.197
	645.552	93.541	29.058	29.172
	646.594	93.434	29.104	29.179
	647.624	93.669	29.071	29.200
	648.663	93.449	29.060	29.189
	649.695	93.429	29.079	29.198
	650.725	93.536	29.062	29.190
	651.754	93.390	29.061	29.179
	652.794	93.351	29.080	29.189
	653.822	93.282	29.063	29.190
	654.861	93.386	29.057	29.180
	655.898	93.352	29.073	29.199
	656.936	93.355	29.079	29.196
	657.970	93.325	29.056	29.184
	659.005	93.327	29.060	29.223
	660.040	93.360	29.064	29.166
	661.091	93.287	29.091	29.202
	662.124	93.405	29.065	29.179
	663.151	93.573	29.048	29.182
	664.179	93.504	29.092	29.195
	665.215	93.332	29.074	29.170
	666.250	93.295	29.070	29.179
	667.283	93.209	29.085	29.182
	668.316	93.463	29.087	29.172
	669.350	93.436	29.062	29.176
	670.378	93.403	29.062	29.175
	671.409	93.378	29.026	29.190
	672.446	93.408	29.070	29.204
	673.473	93.411	29.069	29.189
	674.505	93.513	29.057	29.175
	675.533	93.361	29.055	29.178
	676.560	93.436	29.058	29.181
	677.610	93.507	29.074	29.166
	678.668	93.361	29.062	29.176
	679.699	93.379	29.047	29.173
	680.729	93.364	29.051	29.170
	681.761	93.366	29.086	29.174
	682.792	93.361	29.059	29.185
	683.824	93.524	29.047	29.151
	684.855	93.373	29.059	29.180
	685.886	93.335	29.067	29.158
	686.917	93.287	29.063	29.181
	687.947	93.316	29.050	29.187
	688.978	93.320	29.059	29.167
	690.006	93.023	29.059	29.173
	691.038	93.383	29.054	29.177
	692.066	93.429	29.059	29.175
	693.094	93.575	29.043	29.155
	694.124	93.408	29.048	29.175
	695.195	93.686	29.055	29.146
	696.270	93.499	29.051	29.155
	697.295	93.445	29.047	29.166
	698.326	93.533	29.078	29.166
	699.353	93.359	29.058	29.167
	700.382	93.428	29.057	29.153
	701.409	93.497	29.047	29.168
	702.448	93.461	29.047	29.177
	703.478	93.379	29.046	29.181
	704.555	93.497	29.046	29.156
	705.604	93.395	29.032	29.167
	706.636	93.240	29.043	29.179
	707.663	93.146	29.061	29.161
	708.695	93.419	29.054	29.183
	709.726	93.460	29.058	29.153
	710.774	93.425	29.047	29.162
	711.810	93.418	29.043	29.169
	712.850	93.412	29.061	29.138
	713.878	93.222	29.051	29.140
	714.905	93.345	29.046	29.151
	715.937	93.426	29.051	29.176
	716.966	93.415	29.051	29.155
	717.996	93.336	29.044	29.171
	719.062	93.332	29.056	29.150
	720.113	93.108	29.070	29.167
	721.146	93.448	29.029	29.151
	722.184	93.421	29.043	29.152
	723.215	93.278	29.053	29.149
	724.246	93.283	29.033	29.170
	725.274	93.344	29.050	29.141
	726.302	93.392	29.038	29.156
	727.346	93.395	29.035	29.154
	728.380	93.406	29.045	29.146
	729.419	93.313	29.017	29.140
	730.451	93.340	29.054	29.155
	731.506	93.431	29.036	29.167
	732.536	93.390	29.041	29.146
	733.568	93.509	29.056	29.169
	734.598	93.442	29.038	29.165
	735.623	93.527	29.025	29.167
	736.704	93.422	29.036	29.160
	737.780	93.470	29.047	29.160
	738.811	93.552	29.034	29.141
	739.862	93.587	29.056	29.147
	740.903	93.486	29.028	29.140
	741.932	93.414	29.045	29.137
	742.964	93.540	29.020	29.138
	744.014	93.420	29.011	29.135
	745.043	93.572	29.032	29.142
	746.077	93.493	29.050	29.136
	747.109	93.805	29.048	29.171
	748.136	93.390	29.025	29.151
	749.166	93.408	29.026	29.161
	750.199	93.419	29.010	29.134
	751.263	93.398	29.027	29.140
	752.322	93.357	29.036	29.162
	753.355	93.497	29.030	29.129
	754.382	93.363	29.027	29.138
	755.410	93.457	29.029	29.133
	756.447	93.477	29.027	29.127
	757.474	93.534	29.014	29.137
	758.511	93.052	29.017	29.114
	759.542	93.498	29.006	29.152
	760.579	93.587	29.017	29.125
	761.612	93.563	28.999	29.118
	762.649	93.516	29.007	29.127
	763.676	93.331	29.020	29.136
	764.705	93.659	29.026	29.131
	765.736	93.514	29.021	29.116
	766.769	93.682	29.020	29.134
	767.809	93.575	29.002	29.122
	768.841	93.489	29.002	29.130
	769.875	93.581	29.038	29.143
	770.905	93.574	29.005	29.146
	771.932	93.697	29.010	29.128
	772.959	93.893	29.028	29.121
	773.998	93.711	29.018	29.125
	775.028	93.643	29.009	29.143
	776.064	93.582	29.003	29.117
	777.099	93.584	29.011	29.096
	778.130	93.571	29.035	29.131
	779.160	93.655	29.004	29.113
	780.187	93.584	29.035	29.116
	781.220	93.518	28.988	29.119
	782.255	93.544	29.019	29.126
	783.296	93.502	28.996	29.129
	784.327	93.414	29.006	29.115
	785.357	93.554	29.014	29.100
	786.384	93.433	29.017	29.108
	787.412	93.325	29.016	29.136
	788.445	93.534	29.035	29.135
	789.482	93.495	28.996	29.136
	790.510	93.575	28.994	29.116
	791.544	93.403	29.024	29.115
	792.575	93.649	28.987	29.128
	793.615	93.536	29.011	29.109
	794.648	93.605	29.030	29.114
	795.684	93.543	29.003	29.131
	796.720	93.468	29.008	29.108
	797.754	93.615	29.015	29.134
	798.783	93.482	28.998	29.141
	799.814	93.379	28.994	29.140
	800.858	93.004	28.995	29.119
	801.886	93.516	28.994	29.117
	802.924	93.531	28.979	29.122
	803.965	93.508	29.009	29.109
	804.993	93.682	28.990	29.135
	806.022	93.590	28.998	29.125
	807.051	93.423	29.000	29.121
	808.084	93.434	29.005	29.112
	809.118	93.312	29.006	29.088
	810.151	93.276	29.005	29.100
	811.186	93.133	29.003	29.103
	812.215	93.449	29.005	29.115
	813.237	93.507	29.010	29.093
	814.276	93.536	28.991	29.114
	815.328	93.432	28.989	29.114
