%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83065.933,302.093,346.232,132.305,0.006,0.013,5.000
83065.933,302.091,346.311,132.305,-0.011,-0.009,5.000
83057.870,302.094,346.311,132.305,0.022,0.002,5.000
83065.933,302.093,346.311,132.465,0.022,-0.009,5.000
83061.902,302.091,346.311,132.626,0.006,0.002,5.000
83061.902,302.088,346.469,132.626,0.006,-0.019,5.000
83065.933,302.089,346.390,132.626,0.006,-0.009,5.000
83065.933,302.088,346.311,132.626,-0.011,-0.009,5.000
83065.933,302.089,346.311,132.786,0.006,-0.019,5.000
83061.902,302.089,346.232,132.626,0.006,0.024,5.000
83061.902,302.089,346.390,133.106,0.022,0.002,5.000
83061.902,302.089,346.153,133.106,-0.011,0.002,5.000
83069.965,302.093,346.311,133.266,0.022,-0.009,5.000
83057.870,302.089,346.390,133.266,0.006,0.002,5.000
83065.933,302.089,346.390,133.426,0.006,0.002,5.000
83069.965,302.089,346.390,133.426,0.022,0.002,5.000
83065.933,302.086,346.390,133.266,-0.011,0.002,5.000
83065.933,302.089,346.390,133.586,0.006,0.002,5.000
83057.870,302.089,346.390,133.426,-0.011,-0.009,5.000
83057.870,302.086,346.469,133.906,0.006,-0.009,5.000
83069.965,302.088,346.390,133.746,-0.011,-0.009,5.000
83057.870,302.086,346.469,133.906,0.006,0.002,5.000
83065.933,302.086,346.311,134.066,0.006,0.024,5.000
83057.870,302.086,346.390,134.066,0.006,-0.019,5.000
83061.902,302.085,346.390,134.066,0.006,-0.009,5.000
83065.933,302.089,346.311,134.387,-0.011,0.013,5.000
83061.902,302.085,346.232,134.387,-0.011,0.002,5.000
83061.902,302.085,346.311,134.707,0.006,0.002,5.000
83065.933,302.088,346.311,134.867,0.006,0.024,5.000
83061.902,302.081,346.232,134.547,0.038,-0.009,5.000
83053.839,302.085,346.232,135.027,0.006,0.013,5.000
83057.870,302.085,346.232,135.187,0.006,0.002,5.000
83053.839,302.088,346.311,134.867,-0.011,0.013,5.000
83053.839,302.086,346.153,135.347,0.006,0.002,5.000
83057.870,302.083,346.153,135.347,0.006,0.002,5.000
83053.839,302.085,346.153,135.667,-0.043,0.013,5.000
83049.808,302.083,345.916,135.667,0.022,0.002,5.000
83053.839,302.085,346.074,135.667,0.006,0.002,5.000
83057.870,302.088,345.995,135.987,0.022,0.002,5.000
83049.808,302.085,345.995,135.987,-0.027,0.002,5.000
83053.839,302.088,346.074,135.987,0.022,-0.009,5.000
83053.839,302.086,345.916,135.987,0.022,0.013,5.000
83053.839,302.086,345.916,136.308,0.022,0.002,5.000
83045.776,302.086,345.995,136.148,-0.011,0.002,5.000
83057.870,302.086,345.837,136.468,0.022,-0.009,5.000
83045.776,302.089,345.758,136.628,0.006,0.013,5.000
83049.808,302.086,345.758,136.788,0.022,-0.009,5.000
83053.839,302.089,345.837,136.788,0.006,0.002,5.000
83045.776,302.088,345.600,136.468,-0.011,-0.009,5.000
83053.839,302.091,345.758,136.788,0.006,-0.019,5.000
83049.808,302.089,345.600,136.788,-0.011,-0.009,5.000
83045.776,302.091,345.600,136.628,0.006,0.002,5.000
83049.808,302.089,345.521,136.468,0.022,0.002,5.000
83049.808,302.091,345.521,136.628,0.006,-0.009,5.000
83053.839,302.086,345.521,136.468,-0.011,0.013,5.000
83053.839,302.089,345.679,136.628,-0.011,0.002,5.000
83057.870,302.089,345.521,136.308,0.006,-0.019,5.000
83049.808,302.091,345.363,136.468,-0.011,-0.019,5.000
83061.902,302.091,345.600,136.148,0.006,0.002,5.000
83053.839,302.091,345.442,136.148,-0.011,-0.009,5.000
83061.902,302.091,345.521,136.308,-0.011,-0.009,5.000
83053.839,302.093,345.363,135.827,0.006,0.002,5.000
83057.870,302.089,345.363,135.987,0.006,-0.009,5.000
83061.902,302.091,345.363,135.827,0.022,0.013,5.000
83057.870,302.089,345.205,135.507,0.006,0.002,5.000
83065.933,302.093,345.363,135.347,0.038,-0.009,5.000
83061.902,302.089,345.284,135.187,-0.011,0.013,5.000
83053.839,302.091,345.205,135.027,0.006,-0.009,5.000
83061.902,302.089,345.205,134.547,0.022,-0.009,5.000
83061.902,302.091,345.126,134.547,-0.011,0.002,5.000
83061.902,302.091,345.047,134.547,0.022,0.002,5.000
83053.839,302.089,344.968,133.906,0.006,-0.009,5.000
83069.965,302.089,345.047,133.746,0.006,-0.030,5.000
83057.870,302.088,344.889,133.586,-0.011,0.002,5.000
83057.870,302.089,344.889,133.266,0.006,-0.009,5.000
83061.902,302.086,344.810,133.106,0.006,0.013,5.000
83057.870,302.088,344.731,132.946,0.006,0.002,5.000
83057.870,302.088,344.810,132.626,0.006,0.002,5.000
83057.870,302.086,344.810,132.465,-0.011,-0.009,5.000
83057.870,302.088,344.731,132.305,-0.011,-0.019,5.000
83057.870,302.091,344.731,131.985,-0.011,0.002,5.000
83057.870,302.086,344.652,131.665,0.006,0.002,5.000
83061.902,302.089,344.652,131.665,0.006,-0.009,5.000
83053.839,302.088,344.731,131.185,0.006,0.002,5.000
83053.839,302.088,344.731,131.185,0.006,0.002,5.000
83061.902,302.088,344.652,131.185,0.022,0.002,5.000
83057.870,302.086,344.652,130.864,0.006,0.013,5.000
83053.839,302.086,344.415,130.224,0.022,-0.009,5.000
83057.870,302.086,344.573,130.384,-0.011,-0.009,5.000
83049.808,302.083,344.494,130.384,0.022,0.002,5.000
83061.902,302.086,344.415,130.064,0.022,-0.009,5.000
83045.776,302.086,344.494,130.064,0.038,-0.019,5.000
83057.870,302.086,344.573,129.744,0.006,0.002,5.000
83049.808,302.086,344.415,129.904,-0.011,-0.009,5.000
83057.870,302.088,344.494,129.744,-0.011,-0.009,5.000
83053.839,302.088,344.494,129.744,0.006,0.002,5.000
83053.839,302.089,344.573,129.744,0.038,0.002,5.000
83053.839,302.085,344.652,129.744,0.006,0.002,5.000
83045.776,302.086,344.573,129.744,-0.011,-0.009,5.000
83045.776,302.089,344.494,129.584,-0.011,-0.009,5.000
83053.839,302.088,344.573,129.584,0.006,0.002,5.000
83049.808,302.089,344.494,129.424,0.006,0.002,5.000
83049.808,302.088,344.494,129.584,0.055,0.002,5.000
83053.839,302.086,344.335,129.584,-0.011,-0.019,5.000
83053.839,302.089,344.415,129.744,0.022,0.002,5.000
83049.808,302.091,344.494,129.584,0.006,-0.009,5.000
83049.808,302.089,344.494,129.584,0.006,-0.009,5.000
83049.808,302.091,344.494,129.424,0.006,-0.009,5.000
83053.839,302.088,344.415,129.584,-0.027,-0.019,5.000
83045.776,302.089,344.415,129.424,0.006,0.002,5.000
83045.776,302.088,344.573,129.744,0.006,-0.009,5.000
83045.776,302.088,344.573,129.424,0.006,-0.009,5.000
83053.839,302.089,344.494,129.744,-0.011,0.013,5.000
83049.808,302.089,344.494,129.744,-0.011,-0.009,5.000
83049.808,302.088,344.335,130.064,0.006,0.002,5.000
83053.839,302.086,344.573,129.744,0.022,-0.009,5.000
83053.839,302.089,344.494,129.744,0.022,0.002,5.000
83057.870,302.089,344.494,129.904,-0.011,0.002,5.000
83049.808,302.088,344.494,130.064,0.006,0.002,5.000
83049.808,302.086,344.573,130.064,-0.027,-0.009,5.000
83057.870,302.088,344.415,129.904,-0.011,0.002,5.000
83057.870,302.089,344.573,130.224,0.022,-0.009,5.000
83053.839,302.091,344.415,130.384,-0.011,0.013,5.000
83057.870,302.086,344.415,130.224,0.006,-0.009,5.000
83057.870,302.088,344.415,130.064,-0.027,0.002,5.000
83057.870,302.085,344.494,130.544,0.038,0.024,5.000
83053.839,302.089,344.494,130.544,0.006,-0.009,5.000
83053.839,302.088,344.335,130.544,0.022,-0.009,5.000
83061.902,302.089,344.335,130.544,-0.011,0.002,5.000
83065.933,302.089,344.494,130.704,-0.011,0.002,5.000
83053.839,302.086,344.415,130.544,-0.011,0.002,5.000
83061.902,302.086,344.415,130.704,0.006,-0.009,5.000
83049.808,302.085,344.494,130.704,-0.011,0.002,5.000
83057.870,302.088,344.573,130.704,-0.011,0.002,5.000
83053.839,302.086,344.415,130.704,0.006,0.013,5.000
